Domain,S.No,Project Title,No. of components required,Required Mapping
Safety Security & Industrial,20,IoT Based Smart Helmet Access and Safety Enforcement System using Arduino,5,"Arduino, IR, Bluetooth, Relay, Buzzer"
Safety Security & Industrial,21,IoT Based Air Smoke and Alcohol Detection Alerting System (MQ2/MQ3 Proxies),3,"Arduino, Flame Sensor (Proxy), DHT11, Buzzer"
Safety Security & Industrial,22,Automated Public Park Bushfire Detection and Alarm System using Arduino,4,"Arduino, Flame Sensor, Buzzer, WiFi Connector"
Safety Security & Industrial,23,Autonomous Firefront Mapping and Safety Rover Navigation Hub using Arduino,4,"Arduino, Flame, Ultrasonic, Motor Driver"
Healthcare & Wellness,24,IoT Based Patient Health Monitoring and Vital Tracking System using NodeMCU Station,4,"NodeMCU, Ultrasonic, WiFi hub, Buzzer"
Healthcare & Wellness,25,Heart Disease Prediction using Wearable IoT Sensors and WiFi Link Hub,3,"Arduino, IR Sensor (Pulse Proxy), WiFi Station"
Healthcare & Wellness,26,EMIT (Emergency Medical Information Tracker): Alert System using Arduino,4,"Arduino, Bluetooth, Buzzer, WiFi Station"
Healthcare & Wellness,27,Heart Disease Detection and Prediction via Wearable Proximity Sensors Hub,3,"Arduino, Ultrasonic, WiFi, Buzzer"
Infrastructure Smart City,28,SMART Shopping Card: RFID/Proximity Based Item Billing System using Arduino,3,"Arduino, Ultrasonic, WiFi Station"
Infrastructure Smart City,29,RFICS Toll Gate and Automated Vehicle Clearance System using Arduino,3,"Arduino, Ultrasonic, Servomotor, Buzzer"
Infrastructure Smart City,30,Smart Parking Space Monitoring System using IR Sensors and WiFi Station,6,"Arduino, 4x IR Sensors, WiFi Hub"
Infrastructure Smart City,31,Automatic Door Lock/Unlock System using IR Sensing and Servo Control Hub,3,"Arduino, IR Sensor, Servomotor"
Infrastructure Smart City,32,IoT Based Weather and Air Quality Monitoring System using DHT and WiFi Hub,3,"Arduino, DHT11, WiFi Connector, Buzzer"
Infrastructure Smart City,33,IoT Based Smart Air Quality Purifying and Fan Aeration System using Arduino,4,"Arduino, DHT11, DC Fan, Relay Hub"
Infrastructure Smart City,34,IoT Based Room Temperature and Central Humidity Controlling System using Arduino,4,"Arduino, DHT11, Relay, DC Fan"
Infrastructure Smart City,35,IoT Based School Classroom Presence and Monitoring System using Arduino/WiFi Link,3,"Arduino, IR Sensor, WiFi Connector"
Infrastructure Smart City,36,Smart Corridor Energy Fan and Climate Controlling System using Arduino,4,"Arduino, DHT11, IR, DC Fan, Relay"
Infrastructure Smart City,37,Bus Door Safe Zone Footboard Occupancy Monitoring System using Arduino,3,"Arduino, Ultrasonic, Buzzer"
Infrastructure Smart City,38,Cycle Blind Spot Warning and Side-Facing Cycle Bell Safety System using Arduino,3,"Arduino, Ultrasonic, Buzzer"
Infrastructure Smart City,39,Automated Wet and Dry Waste Auto-Segregation Bin System using Arduino,3,"Arduino, Soil Moisture, Servomotor"
Infrastructure Smart City,40,Smart Refrigerator Energy Saving and Door-Open Warning System using Arduino,4,"Arduino, IR Sensor, Buzzer, Relay"
Infrastructure Smart City,41,Energy Real-time Monitoring and Power Cut-off System using Arduino Relay Station,4,"Arduino, Relay, IR, Buzzer, WiFi"
Infrastructure Smart City,42,Public Transport Tracking and Arrival Notification System using WiFi Hub Hub,2,"Raspberry Pi, WiFi, Buzzer"
Infrastructure Smart City,43,Bus Student Count Tracking and Overcrowding Alert System using Arduino,4,"Arduino, 2x IR Sensors, Buzzer, WiFi"
Infrastructure Smart City,44,WiFi Integrated Neighborhood Urban Heat Island Monitoring System using Raspberry Pi,3,"Raspberry Pi, DHT11, WiFi"
Infrastructure Smart City,45,WiFi Integrated Municipal Storage Tank Leakage Prediction System using Raspberry Pi,3,"Raspberry Pi, Water Level, WiFi"
